year,population_total,population_growth_annual_percent,net_migration,net_migration_rate_per_1000,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,unemployment_total_percent,remittances_percent_gdp,fdi_percent_gdp,total_first_residence_permits,residence_permits_per_100k_population,employment_permit_share,education_permit_share,family_permit_share,migration_pressure_index,youth_population_0_14,working_age_population_15_64,elderly_population_65_plus,youth_share_0_14_percent,working_age_share_15_64_percent,elderly_share_65_plus_percent,dependency_ratio_total,old_age_dependency_ratio,youth_dependency_ratio
2000,3089027.0,-0.637356833943492,-60531.0,-19.595490748381287,3584570164.85195,7.46285871776054,1160.42047054038,19.023,16.6770344143812,3.9893207113692,,,,,,19.595490748381287,914868.0,1947712.0,226447.0,29.6167029489308,63.0526057298341,7.33069132123503,58.5977290277002,11.62630820162324,46.97142082607695
2001,3060173.0,-0.93847042771206,-48070.0,-15.708262245304434,4059064033.13379,8.8637306604876,1326.41652388077,18.57,17.2281095910701,5.10708868615592,,,,,,15.708262245304434,888582.0,1938841.0,232750.0,29.0369887515453,63.3572203567186,7.60579089173614,57.83517059934261,12.004594497434292,45.83057610190831
2002,3051010.0,-0.299876697084691,-45178.0,-14.807555530791442,4515003116.68036,4.62839587394552,1479.83884572006,17.891,16.2473863481927,2.99003115858884,,,,,,14.807555530791442,862957.0,1946583.0,241470.0,28.2843164782655,63.8012540793314,7.91442944240309,56.736702211002566,12.404813974025254,44.331888236977306
2003,3039616.0,-0.374149169291299,-48517.0,-15.96155567018992,5801712040.48463,5.33326426009945,1908.69900687608,16.985,15.3187296457995,3.06868730168473,,,,,,15.96155567018992,835817.0,1953305.0,250494.0,27.4974483557629,64.2615866296247,8.24096501461232,55.61399781396147,12.824110929936698,42.78988688402477
2004,3026939.0,-0.417931377925999,-48654.0,-16.07366385645697,7406645793.44038,5.26626173860785,2446.90949947798,16.306,15.670684644424,4.60782278585291,,,,,,16.07366385645697,808130.0,1958916.0,259893.0,26.6979328951328,64.7160584866188,8.58600861824839,54.52112290675046,13.267184504082872,41.2539384026676
2005,3011487.0,-0.511790116421897,-48893.0,-16.235500933591943,8256658249.8128,5.13082193056189,2741.72136549578,15.966,15.6201731609198,3.17899814544722,,,,,,16.235500933591943,779083.0,1962602.0,269801.0,25.8703792619302,65.170542224898,8.95907851317178,53.44354076883647,13.747107156723573,39.6964336121129
2006,2992547.0,-0.630911244851673,-48882.0,-16.33458054292882,9150528132.17633,6.0189812403864,3057.77257038113,15.626,14.8567088699863,3.55321913781567,,,,,,16.33458054292882,748992.0,1963443.0,280112.0,25.0285784899314,65.6110994839565,9.36032202611209,52.41323532183008,14.266367803903654,38.14686751792642
2007,2970017.0,-0.75571875541991,-49770.0,-16.757479839340988,11116937869.8568,6.50009261158209,3743.05529896187,15.966,13.2052550548158,5.86740351847628,,,,,,16.757479839340988,718511.0,1961199.0,290307.0,24.1921381778413,66.033265550449,9.77459627170979,51.438839199897615,14.802526413688769,36.63631278620885
2008,2947314.0,-0.767342959142321,-50619.0,-17.174620688532002,13258506375.4518,6.90706230713707,4498.50486763601,13.06,14.0708275191369,9.40665320050491,2424872.0,82273.96198708384,0.3040845042542451,0.1678463852937392,0.2810173073052928,82291.13660777237,688601.0,1958661.0,300052.0,23.363673162474,66.4557863939707,10.1805404435552,50.475962915481546,15.319241052943822,35.15672186253772
2009,2927519.0,-0.673894046451936,-51657.0,-17.64531673406731,12335540656.1006,2.69075152362146,4213.65007574693,13.674,13.9247890307559,10.9068201480963,2279189.0,77853.94390266981,0.271551854628993,0.2065686522706103,0.2931459391915282,77871.58921940388,659579.0,1958695.0,309245.0,22.53029271349,66.9063216544298,10.5633856320802,49.46272901089756,15.7883182425033,33.67441076839427
2010,2913021.0,-0.49646196338738,-51907.0,-17.818958394052085,12086545641.299,2.97315442681247,4149.14469936847,14.086,13.1267801276088,9.01744998049889,2417235.0,82980.34926627718,0.3218727182090281,0.197589808189936,0.3223426766532836,82998.16822467123,632011.0,1962907.0,318103.0,21.6960540631808,67.3838908889083,10.9200550479108,48.40341391619674,16.205709185407155,32.19770473078959
2011,2905195.0,-0.269017331764615,-18630.0,-6.412650441708732,12973755874.5365,2.46351683915714,4465.70914328865,13.481,11.963216583924,8.08329285826067,2084134.0,71738.17936489634,0.2357434790661253,0.2196111190547248,0.3407295308267127,71744.59201533804,607953.0,1971042.0,326201.0,20.9264009254324,67.8454159774467,11.2281830971209,47.39391651725331,16.549672711185252,30.84424380606806
2012,2860708.0,-1.54313670532257,-19845.0,-6.937093894238769,12246499747.9714,0.984129880204108,4280.93316338873,13.376,11.5932923255515,7.49597513325321,2037669.0,71229.53478649342,0.2239716067722481,0.209192955283709,0.3330801028037429,71236.47188038766,580497.0,1950963.0,329248.0,20.2920855091608,68.198600414295,11.5093140765442,46.6305614201807,16.876178584627183,29.75438283555352
2013,2816902.0,-1.54314471365633,-20681.0,-7.341753458231774,12796985886.1478,1.7072283175406,4542.92903556739,15.866,10.0167971204892,9.80035898039468,2280476.0,80956.88099905499,0.2234581727674398,0.1881173053345003,0.294013179704588,80964.22275251322,557583.0,1926357.0,332962.0,19.794192578173,68.3856722403311,11.8201351814959,46.229489134153226,17.284542792431516,28.944946341721707
2014,2773767.0,-1.54313753739282,-21706.0,-7.825459023775249,13296322588.1684,2.24022695382642,4793.59751131525,18.055,10.6872215602712,8.64846635716115,2217412.0,79942.25902896674,0.2439163312907118,0.1961038363641939,0.3013657362727359,79950.08448799052,537737.0,1898552.0,337478.0,19.3865379916553,68.4466928018412,12.1667692065035,46.099079719702175,17.775546837800597,28.32353288190157
2015,2731293.0,-1.54312006878448,-20500.0,-7.50560265778882,11470171826.9575,2.2277040745779,4199.53912925398,17.193,11.2540904144104,8.62740636982337,2513506.0,92026.2307998446,0.2654300407478637,0.1921391872547748,0.2996209278991178,92033.7364025024,518771.0,1869933.0,342589.0,18.9935976695213,68.4632957891861,12.5431065412926,46.063682495576046,18.32092379780452,27.742758697771524
