year,reason_code,reason,total_permits,total_reason_subcategory_permits,reason_share
2008,EDUC,Education reasons,407006,1825803,0.22291890198449668
2008,EMP,Employment reasons,737366,1825803,0.403858466658232
2008,FAM,Family reasons,681431,1825803,0.3732226313572713
2009,EDUC,Education reasons,470809,1757862,0.26783046678294425
2009,EMP,Employment reasons,618918,1757862,0.3520856586011871
2009,FAM,Family reasons,668135,1757862,0.3800838746158686
2010,EDUC,Education reasons,477621,2034841,0.23472153352522385
2010,EMP,Employment reasons,778042,2034841,0.38236009594852866
2010,FAM,Family reasons,779178,2034841,0.3829183705262475
2011,EDUC,Education reasons,457699,1659146,0.2758642096596683
2011,EMP,Employment reasons,491321,1659146,0.29612885183100224
2011,FAM,Family reasons,710126,1659146,0.42800693850932947
2012,EDUC,Education reasons,426266,1561353,0.27301065165917
2012,EMP,Employment reasons,456380,1561353,0.29229776994696266
2012,FAM,Family reasons,678707,1561353,0.43469157839386735
2013,EDUC,Education reasons,428997,1609078,0.2666104439933925
2013,EMP,Employment reasons,509591,1609078,0.3166975124885183
2013,FAM,Family reasons,670490,1609078,0.41669204351808925
2014,EDUC,Education reasons,434843,1643958,0.26450979891213766
2014,EMP,Employment reasons,540863,1643958,0.32900049757962185
2014,FAM,Family reasons,668252,1643958,0.4064897035082405
2015,EDUC,Education reasons,482943,1903202,0.25375288592592904
2015,EMP,Employment reasons,667160,1903202,0.35054607971198015
2015,FAM,Family reasons,753099,1903202,0.3957010343620908
2016,EDUC,Education reasons,451813,2042385,0.22121833053023793
2016,EMP,Employment reasons,809781,2042385,0.39648792955294915
2016,FAM,Family reasons,780791,2042385,0.3822937399168129
2017,EDUC,Education reasons,475071,2245331,0.21158172224941446
2017,EMP,Employment reasons,936643,2245331,0.4171514133105542
2017,FAM,Family reasons,833617,2245331,0.3712668644400313
2018,EDUC,Education reasons,525927,2419280,0.21738988459376343
2018,EMP,Employment reasons,979403,2419280,0.404832429483152
2018,FAM,Family reasons,913950,2419280,0.3777776859230845
2019,EDUC,Education reasons,336665,2178938,0.15450875610044892
2019,EMP,Employment reasons,1048369,2178938,0.48113760006021283
2019,FAM,Family reasons,793904,2178938,0.36435364383933827
2020,EDUC,Education reasons,248521,1694121,0.14669613327501402
2020,EMP,Employment reasons,834431,1694121,0.49254510156004205
2020,FAM,Family reasons,611169,1694121,0.36075876516494393
2021,EDUC,Education reasons,359982,2407329,0.14953585488315058
2021,EMP,Employment reasons,1231662,2407329,0.5116301095529526
2021,FAM,Family reasons,815685,2407329,0.33883403556389674
2022,EDUC,Education reasons,394498,2381963,0.1656188614180825
2022,EMP,Employment reasons,1075298,2381963,0.451433544517694
2022,FAM,Family reasons,912167,2381963,0.3829475940642235
2023,EDUC,Education reasons,455052,2497117,0.18223094873007553
2023,EMP,Employment reasons,1049901,2497117,0.42044525747091543
2023,FAM,Family reasons,992164,2497117,0.397323793799009
2024,EDUC,Education reasons,450113,2293212,0.1962805881008821
2024,EMP,Employment reasons,920184,2293212,0.4012642529343122
2024,FAM,Family reasons,922915,2293212,0.4024551589648057
2025,EDUC,Education reasons,11102,54164,0.20497009083524112
2025,EMP,Employment reasons,7584,54164,0.1400192009452773
2025,FAM,Family reasons,35478,54164,0.6550107082194816
