country_name,country_code,indicator_name,indicator_code,indicator_short_name,year,value
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2000,58.5977290277002
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2001,57.83517059934261
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2002,56.736702211002566
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2003,55.61399781396147
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2004,54.52112290675046
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2005,53.44354076883647
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2006,52.41323532183008
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2007,51.438839199897615
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2008,50.475962915481546
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2009,49.46272901089756
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2010,48.40341391619674
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2011,47.39391651725331
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2012,46.6305614201807
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2013,46.229489134153226
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2014,46.099079719702175
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2015,46.063682495576046
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2016,46.04186418791751
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2017,46.17477818101533
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2018,46.50893245403992
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2019,47.04237530779362
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2020,47.68647126853031
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2021,48.441601724710495
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2022,49.25104634350506
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2023,50.02392582373193
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2024,50.97429383464854
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2025,52.04106333987253
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2026,53.0442234071778
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2027,53.87987319519908
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2028,54.5204079021272
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2029,55.0029471790556
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2030,55.43506587519907
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2031,55.895508074724766
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2032,56.39924989960314
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2033,56.98704893411234
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2034,57.61789127937049
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,dependency_ratio_total,2035,58.19910492379965
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2000,226447.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2001,232750.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2002,241470.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2003,250494.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2004,259893.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2005,269801.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2006,280112.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2007,290307.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2008,300052.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2009,309245.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2010,318103.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2011,326201.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2012,329248.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2013,332962.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2014,337478.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2015,342589.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2016,347485.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2017,352365.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2018,358290.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2019,365863.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2020,373381.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2021,380087.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2022,386778.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2023,393546.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2024,402276.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2025,415053.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2026,427795.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2027,440078.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2028,451386.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2029,461627.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2030,470656.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2031,478892.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2032,486458.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2033,493550.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2034,500210.0
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,elderly_population_65_plus,2035,506156.0
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2000,7.33069132123503
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2001,7.60579089173614
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2002,7.91442944240309
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2003,8.24096501461232
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2004,8.58600861824839
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2005,8.95907851317178
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2006,9.36032202611209
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2007,9.77459627170979
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2008,10.1805404435552
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2009,10.5633856320802
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2010,10.9200550479108
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2011,11.2281830971209
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2012,11.5093140765442
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2013,11.8201351814959
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2014,12.1667692065035
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2015,12.5431065412926
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2016,12.9202121629827
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2017,13.3053911120274
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2018,13.739521828078
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2019,14.2480986631067
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2020,14.7670044100644
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2021,15.2660050732804
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2022,15.7763381628571
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2023,16.3020000675759
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2024,16.922756199529
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2025,17.6221063807332
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2026,18.3266418880236
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2027,19.0145996759696
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2028,19.6732039279991
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2029,20.2941739704942
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2030,20.8759359029299
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2031,21.4248153239587
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2032,21.9522031244687
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2033,22.4743146997462
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2034,22.9904523452746
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,elderly_share_65_plus_percent,2035,23.477503131589
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2000,2.217
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2001,2.141
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2002,2.002
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2003,2.006
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2004,1.889
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2005,1.787
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2006,1.686
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2007,1.633
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2008,1.616
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2009,1.638
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2010,1.653
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2011,1.677
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2012,1.719
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2013,1.741
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2014,1.721
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2015,1.631
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2016,1.555
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2017,1.486
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2018,1.415
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2019,1.395
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2020,1.371
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2021,1.365
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2022,1.355
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2023,1.348
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2024,1.341
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2030,1.324
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,fertility_rate,2035,1.347
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,life_expectancy_total,2000,74.826
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,life_expectancy_total,2001,75.083
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,life_expectancy_total,2002,75.299
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,life_expectancy_total,2003,75.557
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,life_expectancy_total,2004,75.951
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,life_expectancy_total,2005,76.427
