year,fdi_percent_gdp,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,net_migration,population_growth_annual_percent,population_total,remittances_percent_gdp,unemployment_total_percent,eurostat_emigration_from_europe,eurostat_immigration_to_europe,total_first_residence_permits,education_permits,employment_permits,family_permits,net_migration_rate_per_1000,residence_permits_per_100k_population,employment_permit_share,education_permit_share,family_permit_share,migration_pressure_index,dependency_ratio_total,elderly_population_65_plus,elderly_share_65_plus_percent,fertility_rate,life_expectancy_total,old_age_dependency_ratio,population_growth_annual_percent_demographic,population_total_demographic,working_age_population_15_64,working_age_share_15_64_percent,youth_dependency_ratio,youth_population_0_14,youth_share_0_14_percent,youth_to_working_age_ratio,elderly_to_working_age_ratio,working_age_population_change,elderly_population_change
2000,3.9893207113692,3584570164.85195,7.46285871776054,1160.42047054038,-60531.0,-0.637356833943492,3089027.0,16.6770344143812,19.023,,,,,,,-19.595490748381287,,,,,19.595490748381287,58.5977290277002,226447.0,7.33069132123503,2.217,74.826,11.62630820162324,-0.637356833943492,3089027.0,1947712.0,63.0526057298341,46.97142082607695,914868.0,29.6167029489308,0.46971420826076954,0.11626308201623238,,
2001,5.10708868615592,4059064033.13379,8.8637306604876,1326.41652388077,-48070.0,-0.93847042771206,3060173.0,17.2281095910701,18.57,,,,,,,-15.708262245304434,,,,,15.708262245304434,57.83517059934261,232750.0,7.60579089173614,2.141,75.083,12.004594497434292,-0.93847042771206,3060173.0,1938841.0,63.3572203567186,45.83057610190831,888582.0,29.0369887515453,0.45830576101908305,0.12004594497434291,-8871.0,6303.0
2002,2.99003115858884,4515003116.68036,4.62839587394552,1479.83884572006,-45178.0,-0.299876697084691,3051010.0,16.2473863481927,17.891,,,,,,,-14.807555530791442,,,,,14.807555530791442,56.736702211002566,241470.0,7.91442944240309,2.002,75.299,12.404813974025254,-0.299876697084691,3051010.0,1946583.0,63.8012540793314,44.331888236977306,862957.0,28.2843164782655,0.44331888236977307,0.12404813974025254,7742.0,8720.0
2003,3.06868730168473,5801712040.48463,5.33326426009945,1908.69900687608,-48517.0,-0.374149169291299,3039616.0,15.3187296457995,16.985,,,,,,,-15.96155567018992,,,,,15.96155567018992,55.61399781396147,250494.0,8.24096501461232,2.006,75.557,12.824110929936698,-0.374149169291299,3039616.0,1953305.0,64.2615866296247,42.78988688402477,835817.0,27.4974483557629,0.4278988688402477,0.12824110929936697,6722.0,9024.0
2004,4.60782278585291,7406645793.44038,5.26626173860785,2446.90949947798,-48654.0,-0.417931377925999,3026939.0,15.670684644424,16.306,,,,,,,-16.07366385645697,,,,,16.07366385645697,54.52112290675046,259893.0,8.58600861824839,1.889,75.951,13.267184504082872,-0.417931377925999,3026939.0,1958916.0,64.7160584866188,41.2539384026676,808130.0,26.6979328951328,0.412539384026676,0.1326718450408287,5611.0,9399.0
2005,3.17899814544722,8256658249.8128,5.13082193056189,2741.72136549578,-48893.0,-0.511790116421897,3011487.0,15.6201731609198,15.966,,,,,,,-16.235500933591943,,,,,16.235500933591943,53.44354076883647,269801.0,8.95907851317178,1.787,76.427,13.747107156723573,-0.511790116421897,3011487.0,1962602.0,65.170542224898,39.6964336121129,779083.0,25.8703792619302,0.39696433612112897,0.13747107156723573,3686.0,9908.0
2006,3.55321913781567,9150528132.17633,6.0189812403864,3057.77257038113,-48882.0,-0.630911244851673,2992547.0,14.8567088699863,15.626,,,,,,,-16.33458054292882,,,,,16.33458054292882,52.41323532183008,280112.0,9.36032202611209,1.686,76.994,14.266367803903654,-0.630911244851673,2992547.0,1963443.0,65.6110994839565,38.14686751792642,748992.0,25.0285784899314,0.3814686751792642,0.14266367803903654,841.0,10311.0
2007,5.86740351847628,11116937869.8568,6.50009261158209,3743.05529896187,-49770.0,-0.75571875541991,2970017.0,13.2052550548158,15.966,,,,,,,-16.757479839340988,,,,,16.757479839340988,51.438839199897615,290307.0,9.77459627170979,1.633,77.691,14.802526413688769,-0.75571875541991,2970017.0,1961199.0,66.033265550449,36.63631278620885,718511.0,24.1921381778413,0.36636312786208847,0.14802526413688769,-2244.0,10195.0
2008,9.40665320050491,13258506375.4518,6.90706230713707,4498.50486763601,-50619.0,-0.767342959142321,2947314.0,14.0708275191369,13.06,,,2424872.0,407006.0,737366.0,681431.0,-17.174620688532002,82273.96198708384,0.3040845042542451,0.1678463852937392,0.2810173073052928,82291.13660777237,50.475962915481546,300052.0,10.1805404435552,1.616,78.248,15.319241052943822,-0.767342959142321,2947314.0,1958661.0,66.4557863939707,35.15672186253772,688601.0,23.363673162474,0.3515672186253772,0.15319241052943822,-2538.0,9745.0
2009,10.9068201480963,12335540656.1006,2.69075152362146,4213.65007574693,-51657.0,-0.673894046451936,2927519.0,13.9247890307559,13.674,,,2279189.0,470809.0,618918.0,668135.0,-17.64531673406731,77853.94390266981,0.271551854628993,0.2065686522706103,0.2931459391915282,77871.58921940388,49.46272901089756,309245.0,10.5633856320802,1.638,78.509,15.7883182425033,-0.673894046451936,2927519.0,1958695.0,66.9063216544298,33.67441076839427,659579.0,22.53029271349,0.33674410768394264,0.157883182425033,34.0,9193.0
