flow_type,citizenship_code,citizenship_country,reporting_country_code,reporting_country,year,value
immigration,AL,Albania,AT,Austria,2015,335.0
immigration,AL,Albania,AT,Austria,2016,337.0
immigration,AL,Albania,AT,Austria,2017,381.0
immigration,AL,Albania,AT,Austria,2018,364.0
immigration,AL,Albania,AT,Austria,2019,410.0
immigration,AL,Albania,AT,Austria,2020,338.0
immigration,AL,Albania,AT,Austria,2021,400.0
immigration,AL,Albania,AT,Austria,2022,527.0
immigration,AL,Albania,AT,Austria,2023,497.0
immigration,AL,Albania,AT,Austria,2024,425.0
immigration,AL,Albania,BE,Belgium,2015,878.0
immigration,AL,Albania,BE,Belgium,2016,939.0
immigration,AL,Albania,BE,Belgium,2017,951.0
immigration,AL,Albania,BE,Belgium,2018,1006.0
immigration,AL,Albania,BE,Belgium,2019,1122.0
immigration,AL,Albania,BE,Belgium,2023,1132.0
immigration,AL,Albania,BE,Belgium,2024,1126.0
immigration,AL,Albania,BG,Bulgaria,2015,58.0
immigration,AL,Albania,BG,Bulgaria,2016,73.0
immigration,AL,Albania,BG,Bulgaria,2017,91.0
immigration,AL,Albania,BG,Bulgaria,2018,99.0
immigration,AL,Albania,BG,Bulgaria,2019,125.0
immigration,AL,Albania,BG,Bulgaria,2020,119.0
immigration,AL,Albania,BG,Bulgaria,2021,127.0
immigration,AL,Albania,BG,Bulgaria,2022,125.0
immigration,AL,Albania,BG,Bulgaria,2023,117.0
immigration,AL,Albania,BG,Bulgaria,2024,85.0
immigration,AL,Albania,CH,Switzerland,2015,195.0
immigration,AL,Albania,CH,Switzerland,2016,202.0
immigration,AL,Albania,CH,Switzerland,2017,236.0
immigration,AL,Albania,CH,Switzerland,2018,304.0
immigration,AL,Albania,CH,Switzerland,2019,282.0
immigration,AL,Albania,CH,Switzerland,2020,282.0
immigration,AL,Albania,CZ,Czechia,2015,30.0
immigration,AL,Albania,CZ,Czechia,2016,69.0
immigration,AL,Albania,CZ,Czechia,2017,79.0
immigration,AL,Albania,CZ,Czechia,2018,114.0
immigration,AL,Albania,CZ,Czechia,2019,163.0
immigration,AL,Albania,CZ,Czechia,2020,76.0
immigration,AL,Albania,CZ,Czechia,2021,71.0
immigration,AL,Albania,CZ,Czechia,2022,123.0
immigration,AL,Albania,CZ,Czechia,2023,129.0
immigration,AL,Albania,CZ,Czechia,2024,71.0
immigration,AL,Albania,DE,Germany,2015,31375.0
immigration,AL,Albania,DE,Germany,2016,6450.0
immigration,AL,Albania,DE,Germany,2017,8341.0
immigration,AL,Albania,DE,Germany,2018,10780.0
immigration,AL,Albania,DE,Germany,2019,13181.0
immigration,AL,Albania,DE,Germany,2020,10811.0
immigration,AL,Albania,DE,Germany,2021,13483.0
immigration,AL,Albania,DE,Germany,2022,17779.0
immigration,AL,Albania,DE,Germany,2023,15956.0
immigration,AL,Albania,DE,Germany,2024,13416.0
immigration,AL,Albania,DK,Denmark,2015,25.0
immigration,AL,Albania,DK,Denmark,2016,39.0
immigration,AL,Albania,DK,Denmark,2017,50.0
immigration,AL,Albania,DK,Denmark,2018,57.0
immigration,AL,Albania,DK,Denmark,2019,39.0
immigration,AL,Albania,DK,Denmark,2020,26.0
immigration,AL,Albania,DK,Denmark,2021,49.0
immigration,AL,Albania,EE,Estonia,2015,6.0
immigration,AL,Albania,EE,Estonia,2016,14.0
immigration,AL,Albania,EE,Estonia,2017,4.0
immigration,AL,Albania,EE,Estonia,2018,5.0
immigration,AL,Albania,EE,Estonia,2019,8.0
immigration,AL,Albania,EE,Estonia,2022,6.0
immigration,AL,Albania,EE,Estonia,2023,5.0
immigration,AL,Albania,EE,Estonia,2024,4.0
immigration,AL,Albania,FI,Finland,2015,74.0
immigration,AL,Albania,FI,Finland,2016,76.0
immigration,AL,Albania,FI,Finland,2017,90.0
immigration,AL,Albania,FI,Finland,2018,100.0
immigration,AL,Albania,FI,Finland,2019,120.0
immigration,AL,Albania,FI,Finland,2020,179.0
immigration,AL,Albania,FI,Finland,2021,186.0
immigration,AL,Albania,FI,Finland,2022,337.0
immigration,AL,Albania,FI,Finland,2023,425.0
immigration,AL,Albania,FI,Finland,2024,242.0
immigration,AL,Albania,HR,Croatia,2015,14.0
immigration,AL,Albania,HR,Croatia,2016,13.0
immigration,AL,Albania,HR,Croatia,2017,207.0
immigration,AL,Albania,HR,Croatia,2018,642.0
immigration,AL,Albania,HR,Croatia,2019,1304.0
immigration,AL,Albania,HR,Croatia,2020,1091.0
immigration,AL,Albania,HR,Croatia,2021,1024.0
immigration,AL,Albania,HR,Croatia,2022,1131.0
immigration,AL,Albania,HR,Croatia,2023,1219.0
immigration,AL,Albania,HR,Croatia,2024,939.0
immigration,AL,Albania,HU,Hungary,2015,77.0
immigration,AL,Albania,HU,Hungary,2016,70.0
immigration,AL,Albania,HU,Hungary,2017,114.0
immigration,AL,Albania,HU,Hungary,2018,184.0
immigration,AL,Albania,HU,Hungary,2019,207.0
immigration,AL,Albania,HU,Hungary,2020,143.0
immigration,AL,Albania,HU,Hungary,2021,167.0
immigration,AL,Albania,HU,Hungary,2022,180.0
immigration,AL,Albania,HU,Hungary,2023,200.0
immigration,AL,Albania,HU,Hungary,2024,136.0
immigration,AL,Albania,IS,Iceland,2015,8.0
immigration,AL,Albania,IS,Iceland,2016,29.0
immigration,AL,Albania,IS,Iceland,2017,41.0
immigration,AL,Albania,IS,Iceland,2018,43.0
immigration,AL,Albania,IS,Iceland,2019,30.0
immigration,AL,Albania,IS,Iceland,2020,29.0
immigration,AL,Albania,IS,Iceland,2021,26.0
immigration,AL,Albania,IS,Iceland,2022,38.0
immigration,AL,Albania,IS,Iceland,2023,45.0
immigration,AL,Albania,IS,Iceland,2024,42.0
immigration,AL,Albania,IT,Italy,2015,11545.0
immigration,AL,Albania,IT,Italy,2016,12966.0
immigration,AL,Albania,IT,Italy,2017,15385.0
immigration,AL,Albania,IT,Italy,2018,17994.0
immigration,AL,Albania,IT,Italy,2019,22228.0
immigration,AL,Albania,IT,Italy,2020,17193.0
immigration,AL,Albania,IT,Italy,2021,22057.0
immigration,AL,Albania,IT,Italy,2022,29108.0
immigration,AL,Albania,IT,Italy,2023,29990.0
immigration,AL,Albania,IT,Italy,2024,27587.0
immigration,AL,Albania,LI,Liechtenstein,2015,1.0
immigration,AL,Albania,LI,Liechtenstein,2016,0.0
immigration,AL,Albania,LI,Liechtenstein,2017,1.0
immigration,AL,Albania,LI,Liechtenstein,2018,0.0
immigration,AL,Albania,LI,Liechtenstein,2019,0.0
immigration,AL,Albania,LI,Liechtenstein,2020,1.0
immigration,AL,Albania,LI,Liechtenstein,2021,0.0
immigration,AL,Albania,LT,Lithuania,2015,5.0
immigration,AL,Albania,LT,Lithuania,2016,7.0
immigration,AL,Albania,LT,Lithuania,2017,16.0
immigration,AL,Albania,LT,Lithuania,2018,17.0
immigration,AL,Albania,LT,Lithuania,2019,23.0
immigration,AL,Albania,LT,Lithuania,2020,10.0
immigration,AL,Albania,LT,Lithuania,2021,26.0
immigration,AL,Albania,LT,Lithuania,2022,24.0
immigration,AL,Albania,LT,Lithuania,2023,31.0
immigration,AL,Albania,LT,Lithuania,2024,21.0
immigration,AL,Albania,LU,Luxembourg,2015,146.0
immigration,AL,Albania,LU,Luxembourg,2016,163.0
immigration,AL,Albania,LU,Luxembourg,2017,114.0
immigration,AL,Albania,LU,Luxembourg,2018,112.0
immigration,AL,Albania,LU,Luxembourg,2019,145.0
immigration,AL,Albania,LU,Luxembourg,2020,124.0
immigration,AL,Albania,LU,Luxembourg,2021,151.0
immigration,AL,Albania,LU,Luxembourg,2022,198.0
immigration,AL,Albania,LU,Luxembourg,2023,182.0
immigration,AL,Albania,LU,Luxembourg,2024,139.0
immigration,AL,Albania,LV,Latvia,2017,2.0
immigration,AL,Albania,LV,Latvia,2018,3.0
immigration,AL,Albania,LV,Latvia,2019,3.0
immigration,AL,Albania,LV,Latvia,2020,2.0
immigration,AL,Albania,LV,Latvia,2021,6.0
immigration,AL,Albania,LV,Latvia,2022,4.0
immigration,AL,Albania,LV,Latvia,2023,0.0
immigration,AL,Albania,LV,Latvia,2024,4.0
immigration,AL,Albania,MD,Moldova,2015,18.0
immigration,AL,Albania,MD,Moldova,2016,13.0
immigration,AL,Albania,MD,Moldova,2017,15.0
immigration,AL,Albania,MD,Moldova,2018,24.0
immigration,AL,Albania,MD,Moldova,2019,19.0
