reason_code,reason,citizenship_code,citizenship_country,duration_code,duration,reporting_country_code,reporting_country,year,value,is_total_reason
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2008,39,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2009,48,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2010,48,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2011,69,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2012,86,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2013,88,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2014,95,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2015,135,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2016,123,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2017,131,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2018,132,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2019,157,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2020,99,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2021,141,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2022,161,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2023,131,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,AT,Austria,2024,127,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2008,18,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2009,28,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2010,18,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2011,21,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2012,32,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2013,33,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2014,40,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2015,33,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2016,39,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2017,54,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2018,51,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2019,77,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2020,43,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2021,65,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2022,46,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2023,46,False
EDUC,Education reasons,AL,Albania,TOTAL,Total,BE,Belgium,2024,42,False
