reason_code,reason,citizenship_code,citizenship_country,duration_code,duration,reporting_country_code,reporting_country,year,value,is_total_reason
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2008,84,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2009,116,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2010,169,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2011,200,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2012,234,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2013,189,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2014,219,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2015,318,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2016,342,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2017,334,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2018,331,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2019,384,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2020,300,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2021,402,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2022,544,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2023,472,True
TOTAL,Total,AL,Albania,TOTAL,Total,AT,Austria,2024,480,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2008,407,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2009,1067,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2010,764,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2011,546,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2012,486,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2013,493,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2014,542,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2015,602,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2016,653,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2017,764,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2018,787,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2019,774,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2020,766,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2021,844,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2022,1023,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2023,1241,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2024,1403,True
TOTAL,Total,AL,Albania,TOTAL,Total,BE,Belgium,2025,1236,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2012,121,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2013,160,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2014,142,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2015,242,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2016,281,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2017,319,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2018,319,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2021,389,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2022,445,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2023,493,True
TOTAL,Total,AL,Albania,TOTAL,Total,CH,Switzerland,2024,498,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2008,44,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2009,44,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2010,47,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2011,60,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2012,48,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2013,43,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2014,44,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2015,108,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2016,144,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2017,119,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2018,164,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2019,254,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2020,105,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2021,109,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2022,148,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2023,160,True
TOTAL,Total,AL,Albania,TOTAL,Total,CZ,Czechia,2024,104,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2008,461,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2009,443,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2010,366,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2011,349,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2012,836,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2013,1267,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2014,1723,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2015,2110,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2016,4045,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2017,6110,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2018,10487,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2019,11107,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2020,9652,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2021,11826,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2022,15939,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2023,16763,True
TOTAL,Total,AL,Albania,TOTAL,Total,DE,Germany,2024,13616,True
