Country Name,Country Code,Indicator Name,Indicator Code,year,value,indicator_short_name
Albania,ALB,Net migration,SM.POP.NETM,1960,13734.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1960,1608800.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1961,3.12085537059054,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1961,829.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1961,1659800.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1962,3.05673050279088,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1962,2325.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1962,1711319.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1963,2.95374876199632,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1963,4091.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1963,1762621.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1964,2.88068642624326,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1964,6604.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1964,1814135.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1965,2.75402123804227,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1965,9617.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1965,1864791.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1966,2.63456387954101,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1966,11858.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1966,1914573.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1967,2.63019034549493,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1967,12252.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1967,1965598.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1968,2.84251071048949,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1968,10490.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1968,2022272.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1969,2.8960833877323,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1969,2665.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1969,2081695.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1970,2.55085117829323,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1970,92.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1970,2135479.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1971,2.4229720170788,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1971,-911.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1971,2187853.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1972,2.49497310670312,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1972,-1588.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1972,2243126.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1973,2.36255222384825,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1973,-1419.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1973,2296752.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1974,2.29721417566909,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1974,-1880.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1974,2350124.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1975,2.3011538096943,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1975,-2610.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1975,2404831.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1976,2.20823525497527,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1976,-1684.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1976,2458526.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1977,2.21325217885547,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1977,-1417.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1977,2513546.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1978,2.07574189532527,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1978,3230.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1978,2566266.0,population_total
Albania,ALB,Population growth (annual %),SP.POP.GROW,1979,1.98945701957156,population_growth
Albania,ALB,Net migration,SM.POP.NETM,1979,-1871.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1979,2617832.0,population_total
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1980,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1980,2.04796386136191,population_growth
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1980,1578102105.26316,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1980,-601.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1980,2671997.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,590.607738430529,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1981,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1981,2.00297430640894,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1981,5.74563529228132,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1981,1808177156.17716,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1981,-374.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1981,2726056.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,663.2942082544,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1982,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1982,2.11327178253342,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1982,2.94859680118944,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1982,1861163170.16317,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1982,-225.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1982,2784278.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,668.454504242454,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1983,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1983,2.12088533357751,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1983,1.10493826195055,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1983,1881412587.41259,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1983,66.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1983,2843960.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,661.546782448624,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1984,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1984,2.10393661802013,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1984,-1.25159664405811,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1984,1857337995.338,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1984,64.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1984,2904429.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,639.484730161417,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1985,0.0,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,1985,2.05599460887143,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1985,1.78064395924895,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1985,1897050116.55012,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,1985,-183.0,net_migration
Albania,ALB,"Population, total",SP.POP.TOTL,1985,2964762.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,639.865903755552,gdp_per_capita_current_usd
